video_id,R1,G1,B1,W1,R2,G2,B2,W2,R3,G3,B3,W3
7440465091817999649,104,121,147,0.5794642857142858,158,182,213,0.3511071428571428,37,40,42,0.0694285714285714
7437536576072125728,39,37,37,0.3706785714285714,123,168,221,0.3401071428571428,99,106,119,0.2892142857142857
7436650165861141792,105,114,133,0.3714285714285714,174,188,203,0.3571785714285714,47,47,60,0.2713928571428571
7436403924350864672,131,140,138,0.4785714285714286,76,79,76,0.2802857142857143,177,203,216,0.2411428571428571
7436044441170857249,58,67,49,0.1933928571428571,20,29,18,0.6041964285714285,111,119,101,0.2024107142857142
7434931188642352417,30,54,68,0.54375,191,204,197,0.1766666666666666,100,122,141,0.2795833333333333
7433817907278269729,42,26,10,0.521875,120,81,35,0.4140178571428571,195,187,166,0.0641071428571428
7431168865142328608,73,70,56,0.3304166666666667,191,194,178,0.2096428571428571,120,125,116,0.4599404761904762
7429720640111791392,123,144,165,0.3820535714285714,198,213,223,0.475,43,63,88,0.1429464285714285
7428251635102534945,49,55,50,0.54325,213,231,242,0.1771071428571428,124,128,126,0.2796428571428571
7425965869924142369,2,3,4,0.5762142857142857,149,168,166,0.2380357142857143,77,85,70,0.18575
7423773390932135201,123,124,138,0.3872619047619047,70,67,78,0.3602380952380952,182,194,209,0.2525
7414443436134223137,86,106,128,0.3520535714285714,143,168,192,0.5775892857142857,18,21,32,0.0703571428571428
7412540786975231264,200,214,216,0.2171875,36,35,38,0.4387053571428571,116,136,160,0.3441071428571428
7410298388022824225,178,193,214,0.5977142857142858,103,91,107,0.2439285714285714,33,30,41,0.1583571428571428
7407736509996043553,100,92,119,0.5480357142857143,33,22,20,0.2967857142857142,203,197,185,0.1551785714285714
7399196283501628705,26,35,30,0.3939285714285714,177,212,218,0.2859285714285714,107,109,43,0.3201428571428571
7394351547376880929,75,91,29,0.3722619047619047,207,211,197,0.4093452380952381,139,148,58,0.2183928571428571
7392856168214957345,169,10,24,0.5628214285714286,240,235,235,0.0703928571428571,92,15,23,0.3667857142857142
7390632928780340512,152,4,5,0.7605,222,203,201,0.0546071428571428,38,19,15,0.1848928571428571
7388867149407849760,45,75,88,0.4873214285714285,220,214,209,0.3973928571428571,237,169,98,0.1152857142857142
7387308322162052385,62,71,56,0.3441428571428571,205,198,195,0.3511428571428571,134,131,133,0.3047142857142857
7386194546062839073,19,14,14,0.5402678571428572,161,11,6,0.4247767857142857,232,222,216,0.0349553571428571
7382166710029208865,249,249,248,0.3463928571428571,179,0,13,0.5929642857142857,69,44,34,0.0606428571428571
7381115594076146977,146,139,134,0.3008214285714286,90,63,36,0.4749285714285714,231,223,204,0.22425
7379227737271094561,89,86,73,0.4396785714285714,231,230,226,0.1676071428571428,183,0,15,0.3927142857142857
7379193504355978528,212,188,178,0.1280952380952381,153,176,83,0.5911309523809524,94,110,42,0.2807738095238095
7378467106636991777,139,114,94,0.3065178571428571,172,3,15,0.5442410714285715,240,236,232,0.1492410714285714
7377004580510436641,183,175,173,0.5350714285714285,38,43,23,0.3007857142857142,229,45,83,0.1641428571428571
7376630682824576289,70,158,213,0.1657142857142857,81,102,45,0.5044047619047619,195,222,220,0.3298809523809524
7374412100833250593,71,91,91,0.2766785714285714,220,210,196,0.3016071428571428,148,155,147,0.4217142857142857
7374072615356353825,20,30,14,0.4431845238095238,182,185,189,0.1116071428571428,79,94,52,0.4452083333333333
7369936386000031009,221,213,196,0.2646428571428571,38,35,25,0.4669345238095238,121,108,89,0.268422619047619
7367273018181160224,116,143,165,0.3175297619047619,63,69,59,0.3480654761904762,162,199,233,0.3344047619047619
7366603470272515361,20,19,21,0.5529285714285714,113,120,133,0.3081428571428571,211,204,203,0.1389285714285714
7365841944318086432,120,143,143,0.2874642857142857,199,201,201,0.4483214285714286,44,73,69,0.2642142857142857
7365161137324805408,164,179,218,0.5025,155,162,101,0.2565178571428571,52,78,45,0.2409821428571428
7363657122795490593,111,127,161,0.5465476190476191,43,39,38,0.1613988095238095,192,185,180,0.2920535714285714
7361799258107841825,50,63,34,0.3613392857142857,198,198,191,0.2725297619047619,122,138,99,0.3661309523809524
7361030582446378272,53,52,33,0.3940178571428571,104,106,94,0.5345089285714286,198,186,185,0.0714732142857142
7358723892992642336,138,144,132,0.3360119047619048,55,61,39,0.3594047619047619,200,219,236,0.3045833333333333
7356509644170333473,45,45,36,0.5125714285714286,211,221,229,0.1946071428571428,99,133,142,0.2928214285714285
7355765566625402144,151,173,194,0.1670089285714285,228,235,243,0.4895535714285714,55,68,34,0.3434375
7354275810578140449,176,183,196,0.2811989795918367,42,46,63,0.3632908163265306,83,106,143,0.3555102040816326
7354009165796216097,110,111,121,0.3001785714285714,37,39,45,0.1990625,202,205,207,0.5007589285714286
7353535610641976609,204,217,227,0.5601785714285714,37,48,55,0.1135267857142857,125,167,202,0.3262946428571429
7352233957276044577,113,107,107,0.2846428571428571,204,184,177,0.3086989795918367,31,34,36,0.4066581632653061
7351779832969104673,207,207,207,0.3064285714285714,48,58,76,0.2110357142857143,159,163,171,0.4825357142857143
7350954462992682272,41,55,67,0.365,192,186,175,0.2337857142857143,92,100,112,0.4012142857142857
7350708094302735649,232,235,238,0.4556428571428571,156,163,176,0.3877142857142857,43,49,59,0.1566428571428571
7350207537771220256,154,195,226,0.16875,70,109,163,0.684375,41,50,64,0.146875
7348717316856712480,30,41,49,0.3909375,192,188,188,0.3894196428571428,197,75,59,0.2196428571428571
7348379737519082784,43,35,29,0.4512142857142857,167,128,76,0.3587857142857142,208,214,216,0.19
7346110636008475937,37,35,41,0.2916428571428571,163,153,150,0.3621428571428571,75,99,115,0.3462142857142857
7345543122400726305,28,26,35,0.5953571428571428,189,168,155,0.1760714285714285,44,81,145,0.2285714285714285
7344270149593091361,188,192,196,0.3672857142857142,55,58,64,0.3168928571428571,104,142,154,0.3158214285714286
7343256943923858720,101,109,120,0.455922619047619,191,197,202,0.4397023809523809,13,19,31,0.104375
7340916267571858721,197,207,238,0.5863839285714286,34,48,63,0.1984375,129,139,162,0.2151785714285714
7338052242651598112,208,217,219,0.3389880952380952,106,136,161,0.3307738095238095,52,72,91,0.3302380952380952
7337268516128591136,104,126,164,0.405625,44,48,71,0.3329910714285714,186,196,205,0.2613839285714285
7335091592077856032,199,196,191,0.6201339285714286,31,43,55,0.1643303571428571,131,145,158,0.2155357142857142
7332835826579164449,160,170,187,0.4282142857142857,10,14,28,0.3448928571428571,61,96,127,0.2268928571428571
7331811695360363809,23,23,28,0.0716071428571428,165,173,188,0.7332589285714286,149,124,129,0.1951339285714285
7331415350828911904,193,199,206,0.4801190476190476,30,49,70,0.2217261904761904,101,131,164,0.2981547619047619
7330883086684622112,27,29,47,0.4976785714285714,217,208,204,0.3894940476190476,125,76,79,0.1128273809523809
7329423244992236832,36,29,33,0.4369642857142857,83,126,180,0.4001339285714286,177,183,199,0.1629017857142857
