video_id,nb_textbloc
7133481707449142533,0
7130906655885102341,0
7130612533437762821,0
7129505006046170373,0
7127182082568113413,0
7116439198285958405,3
7113851055355596038,3
7112440653350571269,0
7108997263912979717,0
7104552926231743749,18
7103816728982916357,1
7101649191662882053,0
7100934148864494854,0
7098701138203069702,0
7095721528142155014,0
7088619536202648837,0
7078227199463066886,0
7077571361660521733,0
7070162555695615237,0
7068640088774741254,4
7067063225736580357,0
7059301793574046982,0
7041273346830454022,0
7040300833019415813,0
7036035511869246725,0
7013121880366255365,0
6969101040918465798,0
7532594185912847638,0
7524347836541046038,0
7518292077080268054,0
7508716246301510914,0
7506795063012232470,3
7506217095441435926,0
7505058159258504470,0
7502082897935928598,2
7500926454671232278,0
7495455289882184982,0
7490268698918309142,0
7486391346727537942,6
7479158367873748246,0
7478407463675481366,0
7472755159945252118,0
7467247804717550870,0
7459483581803482390,0
7457155091238259990,0
7455422115802565910,0
7450928915159190806,0
7448354400998853910,0
7447200750096223510,0
7446429495948594454,0
7444926040855661846,0
7443866656956255510,0
7440567441777757472,0
7439661735742557472,1
7439269165111725345,1
7436892906801073441,3
7421851827794152737,2
7418157210896698657,0
7269755991049260320,0
7253058884762537242,2
7252274964206832923,0
7250832194392886554,0
7245283945619655963,0
7239748390974704922,1
7226711933150432538,0
7202909898219326725,0
7192172787723783430,0
7148719596487363845,5
7510326060676975894,1
7494590607797554454,2
7494205664135236886,0
7483554122663234838,0
7475642830430522646,1
7471186366500539670,3
7467520617160396054,1
7464890614258158870,0
7463516081081027862,0
7460568175726398742,0
7458380266004843798,1
7456101045601570070,0
7453132168940915991,0
7453016788465454358,0
7452742967695002902,0
7444856032486116630,0
7439301301864877344,0
7397696022975188257,1
7395222817677085985,1
7384844059896057120,0
7384476119744974112,2
7384098121715813664,0
7379994182741429536,0
7371436708778315041,2
7369882061445926177,2
7361717788299250976,0
7351084194061126945,2
7343665662876781856,0
7333568243367431456,0
7332865581789629729,0
7332521954538245408,1
7325764964172467489,2
7282668264617004321,0
7273016085954317600,1
7261658279900744987,0
7259307845332602139,1
7252374564108274970,0
7252271385467161882,0
7251996103178997018,2
7249813717225950490,0
7249677053153283354,3
7249312172956732698,2
7246805127942737178,1
7246672390841715995,0
7246343164108295450,3
7246301041979886875,0
7245182525016935707,1
7244559099352976666,0
7242237385772240155,9
7241878874672385306,0
7236674356540165402,3
7221070563538717957,5
7216240671097736454,3
7216007272311344390,0
7215611067286703366,0
7210806075354811654,3
7205961411942468870,4
